index,id
0,DB00014
1,DB00035
2,DB00091
3,DB00104
4,DB00115
5,DB00122
6,DB00125
7,DB00126
8,DB00131
9,DB00136
10,DB00140
11,DB00141
12,DB00146
13,DB00152
14,DB00153
15,DB00158
16,DB00159
17,DB00160
18,DB00162
19,DB00163
20,DB00165
21,DB00167
22,DB00169
23,DB00175
24,DB00176
25,DB00177
26,DB00178
27,DB00179
28,DB00180
29,DB00181
30,DB00182
31,DB00186
32,DB00187
33,DB00188
34,DB00190
35,DB00191
36,DB00193
37,DB00195
38,DB00199
39,DB00200
40,DB00201
41,DB00203
42,DB00204
43,DB00206
44,DB00208
45,DB00210
46,DB00211
47,DB00213
48,DB00214
49,DB00215
50,DB00216
51,DB00218
52,DB00221
53,DB00222
54,DB00226
55,DB00227
56,DB00230
57,DB00232
58,DB00236
59,DB00240
60,DB00241
61,DB00242
62,DB00244
63,DB00245
64,DB00246
65,DB00248
66,DB00252
67,DB00253
68,DB00255
69,DB00257
70,DB00262
71,DB00264
72,DB00268
73,DB00270
74,DB00271
75,DB00273
76,DB00275
77,DB00276
78,DB00277
79,DB00278
80,DB00279
81,DB00280
82,DB00281
83,DB00282
84,DB00283
85,DB00284
86,DB00285
87,DB00286
88,DB00287
89,DB00289
90,DB00290
91,DB00295
92,DB00297
93,DB00302
94,DB00304
95,DB00305
96,DB00307
97,DB00308
98,DB00310
99,DB00313
100,DB00315
101,DB00316
102,DB00318
103,DB00320
104,DB00321
105,DB00323
106,DB00324
107,DB00325
108,DB00327
109,DB00328
110,DB00331
111,DB00332
112,DB00333
113,DB00334
114,DB00335
115,DB00337
116,DB00338
117,DB00341
118,DB00342
119,DB00343
120,DB00346
121,DB00349
122,DB00350
123,DB00351
124,DB00352
125,DB00353
126,DB00354
127,DB00356
128,DB00357
129,DB00361
130,DB00363
131,DB00364
132,DB00366
133,DB00367
134,DB00368
135,DB00371
136,DB00373
137,DB00374
138,DB00376
139,DB00379
140,DB00380
141,DB00381
142,DB00382
143,DB00384
144,DB00385
145,DB00387
146,DB00388
147,DB00390
148,DB00392
149,DB00393
150,DB00394
151,DB00396
152,DB00397
153,DB00398
154,DB00399
155,DB00401
156,DB00404
157,DB00405
158,DB00407
159,DB00408
160,DB00412
161,DB00413
162,DB00414
163,DB00419
164,DB00421
165,DB00422
166,DB00424
167,DB00427
168,DB00428
169,DB00433
170,DB00434
171,DB00436
172,DB00437
173,DB00440
174,DB00441
175,DB00443
176,DB00444
177,DB00445
178,DB00448
179,DB00449
180,DB00451
181,DB00454
182,DB00455
183,DB00457
184,DB00458
185,DB00460
186,DB00461
187,DB00464
188,DB00465
189,DB00468
190,DB00469
191,DB00470
192,DB00471
193,DB00472
194,DB00475
195,DB00476
196,DB00477
197,DB00480
198,DB00481
199,DB00482
200,DB00484
201,DB00489
202,DB00490
203,DB00491
204,DB00492
205,DB00494
206,DB00497
207,DB00499
208,DB00500
209,DB00501
210,DB00502
211,DB00508
212,DB00514
213,DB00515
214,DB00519
215,DB00521
216,DB00523
217,DB00524
218,DB00527
219,DB00528
220,DB00530
221,DB00531
222,DB00532
223,DB00535
224,DB00536
225,DB00537
226,DB00540
227,DB00541
228,DB00542
229,DB00544
230,DB00545
231,DB00547
232,DB00548
233,DB00549
234,DB00550
235,DB00552
236,DB00553
237,DB00554
238,DB00555
239,DB00557
240,DB00559
241,DB00563
